product_id,product_outlier_group_name
62f661838ed09b01ebd4e0e2,Flipper
631b4ab0a74fe601db26998a,Flipper
631b4c653dd2930180ea7c91,Flipper
631b4ceb3dd2930180ea7f2b,Flipper
631b49363dd2930180ea74a7,Flipper
632c860ae32b0501897b5465,iPhone
632c739b95820601e8ffaa29,iPhone
650ae9916ed4a001cce30c6a,iPhone
6436769563988801918e7f2b,iPhone
62b33da5a73a5a0196e10fa0,iPhone
650adc735791b801b19348a2,iPhone
62b314bc7b576c018c675448,iPhone
62b33a04a73a5a0196e08664,iPhone
632c8c25e32b0501897b645d,iPhone
643670e85b212701c72377c3,iPhone
650bf2123d74c50182f5853b,iPhone
650c09893d74c50182f5e794,iPhone
62b328a46b9a84014bb8b656,iPhone
64ef08159e48f001c10f245d,iPhone
64eefae79e48f001c10eef77,iPhone
62b332947b576c018c6cc006,iPhone
62b340d5ba8bee01cb799ff8,iPhone
632c7e5e89e63a018a47d263,iPhone
632c903e99a327016504eb55,iPhone
