slo_id,table_name,table_type
slo_ads,ads.advertising_costs_v3,spark
slo_analytics_reports,cube.time_refunds_days,spark
slo_analytics_reports,cube.time_orders_costs_cube_10_days,spark
slo_analytics_reports,cube.onfy_order_cube_v5_days,spark
slo_analytics_reports,cube.time_orders_additional_cube_2_days,spark
slo_analytics_reports,cube.cohort_buying_devices_absolute_days,spark
slo_jl_external_cube,cube.jl_external_cube_v10_days,spark
slo_overview_marketplace,cube.time_orders_costs_cube_10_days,spark
slo_overview_marketplace,cube.time_orders_additional_cube_2_days,spark
slo_overview_logistics,cube.jl_external_cube_v10_days,spark
slo_overview_onfy,cube.onfy_order_cube_v5_days,spark
slo_overview_pro,cube.pro_order_cube_v6_days,spark
slo_pnl,cube.profit,spark
slo_pivots,odbc.orders_sheet,bq
slo_pivots,odbc.products_current_sheet,bq
slo_gold,gold.active_devices,bq
slo_gold,gold.active_devices_with_ephemeral,bq
slo_gold,gold.active_real_users,bq
slo_gold,gold.active_users,bq
slo_gold,gold.active_users_with_ephemeral,bq
slo_gold,gold.countries,bq
slo_gold,gold.customer_categories,bq
slo_gold,gold.logistics_orders,bq
slo_gold,gold.merchant_categories,bq
slo_gold,gold.merchants,bq
slo_gold,gold.order_groups,bq
slo_gold,gold.orders,bq
slo_gold,gold.payment_orders,bq
slo_gold,gold.products,bq
slo_gold,gold.referral_orders,bq
slo_gold,gold.regions,bq
slo_jm_base_tables,gold.active_devices,bq
slo_jm_base_tables,gold.active_users,bq
slo_jm_base_tables,gold.merchant_categories,bq
slo_jm_base_tables,gold.orders,bq
slo_jm_base_tables,gold.products,bq
slo_jm_base_tables,gold.referral_orders,bq
slo_jm_base_tables,models.active_devices,bq
slo_jm_base_tables,models.active_devices_extended,bq
slo_jm_base_tables,models.active_users,bq
slo_jm_base_tables,models.categories,bq
slo_jm_base_tables,models.orders,bq
slo_jm_base_tables,models.device_interactions,bq
slo_jpro_base_tables,b2b_mart.gmv_by_sources,bq
slo_jpro_base_tables,b2b_mart.jp_sla_logistics,bq
slo_jpro_base_tables,b2b_mart.fact_attribution_interaction,bq
slo_jpay_base_tables,cube.joompay_overview_v1_days,bq
slo_gold_migration,gold_migration.active_devices,bq
slo_gold_migration,gold_migration.active_devices_with_ephemeral,bq
slo_gold_migration,gold_migration.active_users,bq
slo_gold_migration,gold_migration.active_users_with_ephemeral,bq
slo_gold_migration,gold_migration.merchant_categories,bq
slo_gold_migration,gold_migration.merchants,bq
slo_gold_migration,gold_migration.order_groups,bq
slo_gold_migration,gold_migration.orders,bq
slo_gold_migration,gold_migration.products,bq
slo_gold_migration,gold_migration.referral_orders,bq
slo_jm_plan_fact_priority,mart.adtech_revenues,bq
slo_jm_plan_fact_priority,models.merchant_prices,bq
slo_jm_plan_fact_priority,models.china_stages_speed,bq
slo_jm_plan_fact_priority,ads.advertising_costs_v3,bq
slo_jm_plan_fact_priority,models.country_eroi,bq
slo_jm_plan_fact_priority,models.country_with_spend_and_earnings,bq
slo_jm_plan_fact_priority,models.jm_plan_vs_fact_aoc3d,bq
slo_jm_plan_fact_priority,models.bmpl_target_margin,bq
slo_jm_plan_fact_priority,models.joom_select_orders_metrics,bq
slo_jm_plan_fact_priority,models.jm_bl_plan_vs_fact,bq
slo_jm_plan_fact_priority,gold.orders,bq
slo_jm_plan_fact_priority,models.jm_bl_fact_metrics,bq
slo_jm_plan_fact_priority,models.alt_origins_plan_vs_fact,bq
slo_jm_plan_fact_priority,models.alt_origins_plan_vs_fact_cumulative,bq
slo_jm_plan_fact_priority,models.alt_origins_fact_metrics,bq
slo_jm_plan_fact_priority,models.jm_bl_plan_vs_fact_ext,bq
slo_jm_plan_fact_priority_9am,mart.adtech_revenues,bq
slo_jm_plan_fact_priority_9am,models.merchant_prices,bq
slo_jm_plan_fact_priority_9am,models.china_stages_speed,bq
slo_jm_plan_fact_priority_9am,ads.advertising_costs_v3,bq
slo_jm_plan_fact_priority_9am,models.country_eroi,bq
slo_jm_plan_fact_priority_9am,models.country_with_spend_and_earnings,bq
slo_jm_plan_fact_priority_9am,models.jm_plan_vs_fact_aoc3d,bq
slo_jm_plan_fact_priority_9am,models.bmpl_target_margin,bq
slo_jm_plan_fact_priority_9am,models.joom_select_orders_metrics,bq
slo_jm_plan_fact_priority_9am,models.jm_bl_plan_vs_fact,bq
slo_jm_plan_fact_priority_9am,gold.orders,bq
slo_jm_plan_fact_priority_9am,models.jm_bl_fact_metrics,bq
slo_jm_plan_fact_priority_9am,models.alt_origins_plan_vs_fact,bq
slo_jm_plan_fact_priority_9am,models.alt_origins_plan_vs_fact_cumulative,bq
slo_jm_plan_fact_priority_9am,models.alt_origins_fact_metrics,bq
slo_jm_plan_fact_priority_9am,models.jm_bl_plan_vs_fact_ext,bq
