tableName,tableType,dagId,taskId
mart.star_order_2020,bq,platform.star_order_2020_loader,platform.star_order_2020_loader_bq
mart.babylone_events,bq,platform.events3,platform.babylone-events-delta-lake-loader
adsdata.advertising_costs_v3,bq,advertising.ads_analytics,bq-table-upload-ads.advertising_costs_v3
mart.device_experiments,bq,platform.device_experiments,bq-table-upload-mart.device_experiments_v2
mart.mongo_store_specialization,bq,merchant.load-storespecs,bq-table-upload-default.mongo_store_specialization
adsdata.ads_install,bq,advertising.ads_common_job,bq-table-upload-ads.ads_install
mart.context_device_counters_v6,bq,recom.context_event_counters_v5,bq-table-upload-recom.context_device_counters_v6
mart.dim_device_bq,bq,platform.main_etl,bq-table-upload-temp.dim_device_bq_upload_table
merchant.sat_store_info,bq,platform.main_etl,platform.sat_store_info_loader
sample_events.babylone_bot_reaction_100,bq,platform.babylone-events-bq-loader,platform.sample-events
sample_events.babylone_ticket_change_joom_100,bq,platform.babylone-events-bq-loader,platform.sample-events
sample_events.babylone_ticket_create_joom_100,bq,platform.babylone-events-bq-loader,platform.sample-events
sample_events.babylone_ticket_entry_add_joom_100,bq,platform.babylone-events-bq-loader,platform.sample-events
sample_events.product_open_3,bq,platform.sample-events,platform.sample-events
sample_events.product_preview_3,bq,platform.sample-events,platform.sample-events
sample_events.product_purchase_100,bq,platform.sample-events,platform.sample-events
platform_slo.data_readiness_summary,bq,platform.dbt-spark.data-readiness,bq-table-upload-platform_slo.slo_tables
mart.published_products_current,bq,platform.published_product_current,platform.published_products_current_bq
mart.device_events,spark,platform.events3,platform.events3
